0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.6563440565753738,2.9590703879724805,-0.22941573387056183,0.5276824424241607,-1.4369170119360462
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.2125946173557745,-0.3379439718854365,-0.22941573387056183,-1.0532436585545946,-1.2656986695422001
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.06425326079923625,-0.3379439718854365,-0.22941573387056183,0.4889974644230493,0.4859966795640708
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5825776469809731,-0.3379439718854365,-0.22941573387056183,0.25946659494978774,0.9601397815777979
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7637804811745887,-0.3379439718854365,-0.22941573387056183,-1.0893496380222984,0.275266412002414
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13589159059671221,-0.3379439718854365,-0.22941573387056183,0.22851861254889888,-0.7520436423606622
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.3600852963505778,-0.3379439718854365,-0.22941573387056183,3.485793760242485,-0.63350786685723
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9702674317673131,-0.3379439718854365,-0.22941573387056183,-0.8417657788151852,-0.7783849258058692
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.033477722765086,-0.3379439718854365,-0.22941573387056183,-0.03453923785865921,-0.42277759929557374
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8712590459678012,-0.3379439718854365,-0.22941573387056183,-0.18412115279629016,-1.1735041774839754
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6697946521426652,-0.3379439718854365,-0.22941573387056183,-0.07064521732636303,-0.05399963106267453
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9449833153682042,-0.3379439718854365,-0.22941573387056183,0.20014962868141728,-1.4369170119360462
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1611757069958211,-0.3379439718854365,-0.22941573387056183,-0.8469237758820001,0.4201434709510531
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.917613259366168,-0.3379439718854365,-0.22941573387056183,1.4251739320499472,0.1303893530537753
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.7153403281732951,-0.3379439718854365,-0.22941573387056183,-0.6302878990757758,-0.6203372251346269
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4498571059826494,-0.3379439718854365,-0.22941573387056183,0.2259396140154916,-0.2515592569017276
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6710720543778551,-0.3379439718854365,-0.22941573387056183,-1.1048236292227434,-0.3700950324051593
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1590897673928942,-0.3379439718854365,-0.22941573387056183,-0.19959514399673461,-0.7257023589154548
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.1514702659609284,-0.3379439718854365,-0.22941573387056183,-1.396250463497783,-0.14619412312089922
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9534113541679068,-0.3379439718854365,-0.22941573387056183,-0.32080807506688397,-1.1471628940387684
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7827646385709194,-0.3379439718854365,-0.22941573387056183,0.047988715210378674,0.5518498881770885
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.655066654340184,-0.3379439718854365,-0.22941573387056183,0.14341166094645336,0.2620957702798107
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.81226277436988,2.9590703879724805,-0.22941573387056183,-0.9810316996191867,-0.7783849258058692
